Date,Symbol,Open,High,Low,Close,Adj Close,Volume,VWAP
02-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
22-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
23-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
29-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
30-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
31-10-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
06-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
07-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
13-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
14-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
20-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
21-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
24-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
25-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
26-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
27-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
28-11-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
01-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
02-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
03-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
04-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
05-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
08-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
09-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
10-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
11-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
12-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
15-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
16-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
17-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
18-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
19-12-2003,TCS,38.387501,38.387501,38.387501,38.387501,27.339939,0,38.387501
